project_id,project_name,sector,start_date,last_update,planned_milestones,completed_milestones,activity_level,org_type,region,priority,budget_total,budget_spent,payment_delay_days,dependency_count,team_size,approval_stage,approval_last_moved,update_channel,risk_notes
P001,IT Initiative #728,IT,2025-05-30,2025-11-01,10,0,Low,NGO,Delta,High,500000.0,0.0,0,0,8,Initiation,2025-09-27,Email,Scope clarification needed
P002,Water & Sanitation Initiative #54,Water & Sanitation,2024-12-25,2025-11-21,11,1,Medium,NGO,Cairo,Medium,1000000.0,16268.91,14,0,8,Procurement,2025-10-30,Phone,
P003,Culture Initiative #660,Culture,2025-09-16,2025-11-25,12,11,Medium,NGO,Giza,Low,500000.0,499054.41,14,8,20,Closed,2025-11-19,Field Visit,
P004,Environment Initiative #42,Environment,2025-06-07,2025-10-22,11,0,Low,Private,Cairo,Medium,1000000.0,0.0,90,2,8,Handover,2025-10-02,Meeting,
P005,Tourism Initiative #234,Tourism,2025-07-30,2025-12-15,13,6,Medium,Private,Giza,High,3000000.0,1212739.56,0,2,5,UAT,2025-11-18,Phone,Awaiting approval
P006,Manufacturing Initiative #559,Manufacturing,2024-10-24,2025-12-14,4,0,Medium,Government,Cairo,Medium,5000000.0,0.0,14,1,5,UAT,2025-12-14,Meeting,Payment backlog
P007,Logistics Initiative #166,Logistics,2025-09-02,2025-11-28,12,8,Medium,Government,Cairo,Medium,10000000.0,8568275.01,14,1,3,Handover,2025-11-09,Phone,Payment backlog
P008,Environment Initiative #788,Environment,2025-01-18,2025-11-15,3,2,Medium,Private,Cairo,High,25000000.0,20193740.05,0,0,20,Initiation,2025-11-10,Field Visit,Resource constraints
P009,Water & Sanitation Initiative #539,Water & Sanitation,2024-12-09,2025-12-11,18,16,Medium,Government,Giza,Medium,50000000.0,50000000.0,14,2,12,Execution,2025-10-30,System,Awaiting approval
P010,Culture Initiative #507,Culture,2025-09-07,2025-11-08,13,0,Low,Private,Cairo,Low,500000.0,35443.02,0,5,20,Initiation,2025-10-07,Email,
P011,Energy Initiative #755,Energy,2024-12-16,2025-11-03,18,11,Medium,NGO,Suez Canal,Low,1000000.0,611979.02,7,1,12,Handover,2025-09-23,Meeting,
P012,Tourism Initiative #105,Tourism,2025-07-19,2025-12-23,9,6,High,Private,Cairo,Low,3000000.0,2468210.25,0,3,20,Initiation,2025-12-20,Phone,Resource constraints
P013,Agriculture Initiative #313,Agriculture,2025-01-02,2025-10-05,9,1,Low,University,Cairo,Low,3000000.0,856177.31,30,1,12,Handover,2025-08-31,Field Visit,
